Provinsi,Tahun,Fakor Perceraian - Zina,Fakor Perceraian - Mabuk,Fakor Perceraian - Madat,Fakor Perceraian - Judi,Fakor Perceraian - Meninggalkan Salah satu Pihak,Fakor Perceraian - Dihukum Penjara,Fakor Perceraian - Poligami,Fakor Perceraian - Kekerasan Dalam Rumah Tangga,Fakor Perceraian - Cacat Badan,Fakor Perceraian - Perselisihan dan Pertengkaran Terus Menerus,Fakor Perceraian - Kawin Paksa,Fakor Perceraian - Murtad,Fakor Perceraian - Ekonomi,Fakor Perceraian - Lain-lain,Fakor Perceraian - Jumlah
Aceh,2023,,8,12,25,669,68,25,102,12,4915,3,12,235,,6086
Sumatera Utara,2023,1,12,15,121,1065,53,8,136,2,13709,,73,465,,15660
Sumatera Barat,2023,4,1,2,3,859,34,10,19,4,6969,,18,113,,8036
Riau,2023,7,8,25,23,797,80,9,71,6,7333,4,23,231,,8617
Jambi,2023,4,8,13,22,324,31,10,49,5,3931,3,16,157,,4573
Sumatera Selatan,2023,5,29,35,48,955,70,30,259,4,8311,4,50,574,,10374
Bengkulu,2023,,9,1,16,272,24,2,43,2,3139,1,9,123,,3641
Lampung,2023,8,72,8,81,667,26,15,167,8,10099,2,47,2838,,14038
Kepulauan Bangka Belitung,2023,5,21,,32,180,19,6,62,1,1453,,8,452,,2239
Kepulauan Riau,2023,1,3,2,4,384,40,8,13,1,2658,,17,170,,3301
DKI Jakarta,2023,14,42,25,57,1970,34,43,178,4,9464,6,92,2452,,14381
Jawa Barat,2023,28,125,28,209,3418,214,138,442,18,48812,22,309,37383,,91146
Jawa Tengah,2023,39,136,20,143,7378,99,40,235,37,36618,38,174,23176,,68133
DI Yogyakarta,2023,4,25,3,7,547,8,7,58,3,3921,,21,583,,5187
Jawa Timur,2023,579,404,38,415,5986,173,132,1636,54,35940,163,156,33572,,79248
Banten,2023,4,56,13,109,592,24,19,224,4,9671,8,82,3327,,14133
Bali,2023,3,5,1,2,87,4,1,15,,886,1,26,34,,1065
Nusa Tenggara Barat,2023,4,50,5,15,1189,12,29,240,4,4997,,23,198,,6766
Nusa Tenggara Timur,2023,3,2,,3,112,,,19,,320,1,3,8,,471
Kalimantan Barat,2023,6,35,18,33,649,32,28,86,7,3750,,23,312,,4979
Kalimantan Tengah,2023,2,37,5,9,495,32,18,35,8,2310,7,11,178,,3147
Kalimantan Selatan,2023,4,55,15,18,346,106,31,77,5,5517,10,23,330,,6537
Kalimantan Timur,2023,7,61,41,55,962,101,33,137,3,4708,8,28,766,,6910
Kalimantan Utara,2023,1,,,,95,15,1,3,1,850,1,1,9,,977
Sulawesi Utara,2023,2,34,1,4,279,5,1,57,,1296,2,61,76,,1818
Sulawesi Tengah,2023,9,71,18,20,421,9,10,101,3,2820,3,18,78,,3581
Sulawesi Selatan,2023,22,194,28,60,1771,21,61,333,7,9856,21,33,399,,12806
Sulawesi Tenggara,2023,2,74,4,17,547,16,10,170,3,2748,2,23,57,,3673
Gorontalo,2023,7,90,3,1,388,6,3,62,,1452,1,9,40,,2062
Sulawesi Barat,2023,4,13,2,5,335,4,1,39,1,712,2,,33,,1151
Maluku,2023,,14,1,,101,2,4,29,1,632,,1,8,,793
Maluku Utara,2023,1,13,1,1,247,3,3,28,,857,,4,10,,1168
Papua Barat,2023,,27,,7,75,1,,22,,285,1,7,69,,494
Papua Barat Daya,2023,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Papua,2023,,18,1,7,160,5,2,27,1,889,,14,32,,1156
Papua Selatan,2023,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Papua Tengah,2023,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Papua Pegunungan,2023,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Aceh,2022,5,15,20,27,747,101,57,173,25,5412,2,12,308,,6904
Sumatera Utara,2022,11,7,82,44,1600,70,14,73,2,14980,2,91,357,,17333
Sumatera Barat,2022,2,9,7,19,754,31,10,33,4,7863,,11,224,,8967
Riau,2022,24,28,34,33,962,118,28,134,4,9789,7,32,574,,11767
Jambi,2022,4,14,6,15,656,32,7,42,5,4917,1,24,481,,6204
Sumatera Selatan,2022,6,22,17,34,841,59,20,194,7,9311,3,73,532,,11119
Bengkulu,2022,4,11,3,11,308,20,4,29,5,3135,9,5,266,,3810
Lampung,2022,5,42,5,38,645,36,17,146,9,11925,2,53,2438,,15361
Kepulauan Bangka Belitung,2022,3,39,,20,126,23,7,53,,1977,1,9,442,,2700
Kepulauan Riau,2022,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
DKI Jakarta,2022,8,32,10,29,1716,36,35,159,5,11163,1,58,2695,,15947
Jawa Barat,2022,48,124,17,157,4613,155,166,397,25,55532,26,335,37295,,98890
Jawa Tengah,2022,31,199,16,131,9337,102,69,245,53,40283,70,160,23334,,74030
DI Yogyakarta,2022,2,17,1,6,619,11,3,46,4,3828,3,20,787,,5347
Jawa Timur,2022,461,388,27,307,6498,205,141,1577,96,44464,178,252,34499,,89093
Banten,2022,6,84,13,87,769,37,35,264,7,10708,,86,3226,,15322
Bali,2022,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Nusa Tenggara Barat,2022,2,71,9,30,1175,16,37,307,4,6482,8,45,573,,8759
Nusa Tenggara Timur,2022,,8,1,2,116,2,1,26,1,334,,3,3,,497
Kalimantan Barat,2022,13,35,13,38,739,37,25,52,4,4221,4,26,454,,5661
Kalimantan Tengah,2022,2,24,3,18,452,44,8,31,9,2799,,14,153,,3557
Kalimantan Selatan,2022,3,85,20,10,494,116,47,61,2,6444,5,65,354,,7706
Kalimantan Timur,2022,16,35,48,43,1168,142,40,154,10,5542,7,43,1101,,8349
Kalimantan Utara,2022,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Sulawesi Utara,2022,,46,,7,256,,3,37,,1453,3,59,52,,1916
Sulawesi Tengah,2022,,60,4,10,471,9,13,65,3,3189,2,33,67,,3926
Sulawesi Selatan,2022,23,139,21,56,2632,22,68,347,21,11148,36,51,446,,15010
Sulawesi Tenggara,2022,1,62,1,5,539,11,4,146,3,2858,,29,65,,3724
Gorontalo,2022,,134,2,2,454,2,8,47,,1659,1,15,37,,2361
Sulawesi Barat,2022,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Maluku,2022,,4,,1,143,2,1,25,,603,1,7,7,,794
Maluku Utara,2022,2,18,3,1,286,2,3,63,,873,2,3,18,,1274
Papua Barat,2022,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Papua,2022,8,29,,10,243,6,3,46,1,1277,3,21,151,,1798
Aceh,2021,1,4,18,11,699,90,19,88,27,5238,3,9,235,,6442
Sumatera Utara,2021,1,6,24,12,1587,67,14,37,3,15244,1,73,201,,17270
Sumatera Barat,2021,3,4,2,15,883,39,10,29,6,8172,3,14,191,,9371
Riau,2021,39,35,24,33,1303,106,33,131,10,10285,10,37,676,,12722
Jambi,2021,3,14,4,14,448,29,13,36,2,4140,,11,286,,5000
Sumatera Selatan,2021,27,57,20,59,998,91,39,240,7,8630,7,49,968,,11192
Bengkulu,2021,2,11,3,15,364,14,5,37,3,3149,1,4,237,,3845
Lampung,2021,2,53,7,51,624,30,19,167,5,11231,2,72,2770,,15033
Kepulauan Bangka Belitung,2021,5,45,3,12,142,27,5,80,1,1882,1,2,272,,2477
Kepulauan Riau,2021,,,,,,,,,,,,,,,
DKI Jakarta,2021,18,55,17,25,1827,56,22,234,7,11029,3,60,2664,,16017
Jawa Barat,2021,16,102,24,86,4066,141,151,323,41,52213,16,306,40603,,98088
Jawa Tengah,2021,29,180,11,131,11184,102,73,259,78,40418,72,188,22784,,75509
DI Yogyakarta,2021,4,26,1,9,762,10,8,65,7,3835,8,26,872,,5633
Jawa Timur,2021,235,315,31,230,6204,180,117,1354,80,45712,159,206,33412,,88235
Banten,2021,7,123,23,77,1067,36,93,361,18,10058,5,79,3721,,15668
Bali,2021,,,,,,,,,,,,,,,
Nusa Tenggara Barat,2021,5,65,12,29,1566,19,32,280,1,6305,4,48,619,,8985
Nusa Tenggara Timur,2021,,9,,,91,2,,10,,313,,6,5,,436
Kalimantan Barat,2021,13,19,8,21,605,44,12,48,2,4069,3,24,356,1,5225
Kalimantan Tengah,2021,3,29,,7,533,38,11,35,7,2620,3,19,178,1,3484
Kalimantan Selatan,2021,1,84,24,18,608,75,72,74,14,6071,11,22,508,,7582
Kalimantan Timur,2021,8,43,65,42,1229,131,64,175,5,5287,14,31,907,,8001
Kalimantan Utara,2021,,,,,,,,,,,,,,,
Sulawesi Utara,2021,13,73,,2,267,5,5,34,1,1367,2,51,64,,1884
Sulawesi Tengah,2021,,21,3,8,398,11,8,54,1,3358,5,27,65,,3959
Sulawesi Selatan,2021,7,216,18,65,3091,28,48,325,24,11236,23,39,455,,15575
Sulawesi Tenggara,2021,2,69,1,8,589,11,7,158,6,2885,2,14,70,,3822
Gorontalo,2021,,79,2,1,447,1,7,36,,1797,2,12,34,,2418
Sulawesi Barat,2021,,,,,,,,,,,,,,,
Maluku,2021,,,,2,164,1,2,40,,542,,,8,,759
Maluku Utara,2021,2,21,2,1,328,3,,42,,834,2,3,35,,1273
Papua Barat,2021,,,,,,,,,,,,,,,
Papua,2021,3,21,2,9,313,5,4,27,4,1285,3,15,147,,1838
Aceh,2020,2,3,5,2,580,52,11,58,8,3370,,3,77,,4171
Sumatera Utara,2020,4,11,26,3,1394,58,16,33,6,11026,1,61,170,,12809
Sumatera Barat,2020,1,5,2,16,570,16,10,33,5,4394,1,6,232,,5291
Riau,2020,4,8,8,10,708,38,13,42,6,5176,4,18,217,,6252
Jambi,2020,4,11,4,12,387,28,8,37,2,3164,3,7,216,,3883
Sumatera Selatan,2020,4,43,49,33,523,37,51,137,7,4883,6,21,608,,6402
Bengkulu,2020,1,6,,11,331,19,2,23,1,2509,4,8,189,,3104
Lampung,2020,11,53,5,61,769,23,17,245,14,7556,1,53,2419,,11227
Kepulauan Bangka Belitung,2020,8,12,1,4,103,16,11,30,1,1633,1,14,167,,2001
Kepulauan Riau,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
DKI Jakarta,2020,5,25,15,16,1729,31,18,167,5,8265,3,61,1758,,12098
Jawa Barat,2020,16,52,11,45,1563,53,103,125,21,17336,11,113,18054,,37503
Jawa Tengah,2020,125,169,27,95,12679,64,57,294,59,32201,83,199,19703,,65755
DI Yogyakarta,2020,11,19,,10,735,9,5,50,8,3343,6,24,1068,,5288
Jawa Timur,2020,205,144,9,116,4416,116,92,619,39,34822,101,239,20952,,61870
Banten,2020,22,57,10,40,905,14,108,250,3,6533,7,42,2410,,10401
Bali,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Nusa Tenggara Barat,2020,3,41,5,22,726,11,29,177,1,3425,1,16,398,,4855
Nusa Tenggara Timur,2020,2,6,,3,101,2,2,13,1,300,2,6,13,,451
Kalimantan Barat,2020,10,20,6,22,527,14,12,41,2,3119,2,14,460,,4249
Kalimantan Tengah,2020,2,20,7,2,296,10,8,32,3,1094,4,12,105,,1595
Kalimantan Selatan,2020,4,43,8,16,274,25,36,47,4,2641,15,8,289,,3410
Kalimantan Timur,2020,15,31,53,37,1095,123,73,180,12,4482,12,49,850,,7012
Kalimantan Utara,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Sulawesi Utara,2020,9,49,,4,196,3,1,32,1,912,,51,40,,1298
Sulawesi Tengah,2020,,35,1,5,143,3,3,36,4,1342,,2,36,,1610
Sulawesi Selatan,2020,15,148,16,45,2566,30,42,350,18,8863,38,51,515,,12697
Sulawesi Tenggara,2020,3,77,,8,516,3,19,129,10,1903,1,6,93,,2768
Gorontalo,2020,1,95,2,2,325,1,9,24,,958,2,5,28,,1452
Sulawesi Barat,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Maluku,2020,,,,1,41,,,9,,169,,2,3,,225
Maluku Utara,2020,1,14,1,1,170,,2,21,1,258,1,1,5,,476
Papua Barat,2020,...,...,...,...,...,...,...,...,...,...,...,...,...,...,
Papua,2020,10,21,,6,303,4,1,37,1,1006,,16,119,,1524
